Nama Hotel,Harga Sewa/Malam,Bintang
Hotel Neo Malioboro by ASTON,Rp 1.570.248,3
Hotel Tentrem Yogyakarta,Rp 1.650.000,5
Arte Hotel Malioboro Yogyakarta,Rp 396.694,3
The Alana Yogyakarta Hotel & Convention Center,Rp 1.022.810,4
All Nite & Day Hotel Yogyakarta - Gejayan,Rp 297.438,3
The Rich Jogja Hotel,Rp 537.692,4
Eastparc Hotel Yogyakarta,Rp 1.275.620,5
Lafayette Boutique Hotel,Rp 676.860,5
Riss Hotel Malioboro,Rp 767.459,4
Sheraton Mustika Yogyakarta Resort & Spa,Rp 1.025.000,5
INNSIDE by Melia Yogyakarta,Rp 634.339,4
SATORIA Hotel Yogyakarta,Rp 454.545,4
Royal Malioboro by ASTON,Rp 2.301.155,4
The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON,Rp 613.258,4
Malyabhara Hotel (formerly Ibis Malioboro),Rp 744.306,3
The Alana Yogyakarta Hotel & Convention Center,Rp 1.022.810,4
Hotel FortunaGrande Seturan Yogyakarta By Fosia Hotels,Rp 379.339,4
Hotel New Saphir Yogyakarta,Rp 1.812.211,4
Abadi Hotel Malioboro Yogyakarta by Tritama Hospitality,Rp 723.192,4
Sahid Raya Hotel & Convention Yogyakarta,Rp 347.572,4
RAJAKLANA Resort Villa and Spa,Rp 470.579,3
Regantris Malioboro,Rp 561.983,3
eL Hotel Yogyakarta Malioboro,Rp 974.380,4
Hotel Indies Heritage Prawirotaman,Rp 508.264,4
Grand Zuri Malioboro Yogyakarta,Rp 772.934,4
Bohemian Jogja Villas With Private Pool,Rp 1.109.091,2
THE 1O1 Yogyakarta Tugu Hotel,Rp 784.298,4
The Westlake Hotel & Resort Yogyakarta,Rp 504.099,4
The Malioboro Hotel and Conference Center,Rp 864.171,4
Yogyakarta Marriott Hotel,Rp 1.540.000,5
Melia Purosani Yogyakarta,Rp 1.187.190,5
Amaris Hotel Malioboro - Jogja,Rp 404.027,2
ARTOTEL Suites Bianti Yogyakarta,Rp 991.736,5
Grand Diamond Hotel Yogyakarta,Rp 451.785,4
GRAMM HOTEL by Ambarrukmo,Rp 907.438,4
KHAS Malioboro Hotel,Rp 442.562,3
favehotel Kusumanegara,Rp 325.413,3
Greenhost Boutique Hotel,Rp 495.868,3
The Victoria Hotel Yogyakarta,Rp 419.421,4
Harper Malioboro Yogyakarta by ASTON,Rp 1.225.041,4
"Grand Senyum Hotel, Tugu",Rp 734.618,4
"KIMAYA Sudirman Yogyakarta, By HARRIS",Rp 525.455,4
Grand Rohan Jogja,Rp 602.911,4
PULANG ke UTTARA,Rp 971.074,4
POP! Hotel Malioboro - Yogyakarta,Rp 354.978,2
Zest Yogyakarta by Swiss-Belhotel International,Rp 264.463,2
GAIA Cosmo Hotel,Rp 690.083,4
Hyatt Regency Yogyakarta,Rp 1.237.377,5
Aveta Hotel Malioboro,Rp 1.128.099,3
Grand Kangen Hotel Urip Sumoharjo Yogyakarta,Rp 268.595,3
Whiz Hotel Malioboro Yogyakarta,Rp 495.868,2
POP! Hotel Sangaji Yogyakarta,Rp 294.372,2
PORTA by Ambarrukmo,Rp 594.421,3
Hotel FortunaGrande Malioboro Yogyakarta By Fosia Hotels,Rp 569.421,4
Grand Malioboro Yogyakarta Hotel,Rp 464.876,3
"POP! Hotel Timoho, Yogyakarta",Rp 251.082,2
"The Cube Hotel Malioboro, Azana Hotels Collection",Rp 374.984,3
Crystal Lotus Hotel,Rp 434.939,4
Patra Malioboro Hotel,Rp 612.366,3
Grand Serela Yogyakarta,Rp 340.909,4
Platinum Adisucipto Yogyakarta Hotel & Conference,Rp 421.901,4
Malioboro Prime Hotel,Rp 461.157,3
Paku Mas Hotel,Rp 702.479,3
Allstay Ecotel Yogyakarta,Rp 266.116,3
Unisi Hotel Malioboro - Jogja (Syariah),Rp 403.306,3
Royal Ambarrukmo Yogyakarta,Rp 1.742.149,5
Sofia Boutique Residence,Rp 681.818,4
Hotel Santika Premiere Jogja,Rp 796.942,4
Grand Keisha Yogyakarta,Rp 617.355,4
Yellow Star Gejayan Hotel,Rp 370.413,3
YATS Colony,Rp 520.661,3
Kalya Hotel Yogyakarta,Rp 256.198,3
Yellow Star Ambarukmo Hotel,Rp 548.926,3
Aveon Hotel Yogyakarta by Daphna International,Rp 382.760,4
Merapi Merbabu Hotel Yogyakarta Powered by Archipelago,Rp 1.456.154,4
Kotta GO Yogyakarta,Rp 376.033,3
Malioboro Inn Yogyakarta,Rp 431.034,2
Grand Mercure Yogyakarta Adi Sucipto,Rp 785.124,5
Cordela Kartika Dewi Malioboro Yogyakarta,Rp 395.446,3
favehotel Malioboro - Yogyakarta,Rp 331.473,3
Sheraton Mustika Yogyakarta Resort & Spa,Rp 1.025.000,5
KJ Hotel Yogyakarta,Rp 531.106,4
All Nite & Day Hotel Yogyakarta - Gejayan,Rp 297.438,3
The Atrium Hotel and Resort Yogyakarta,Rp 380.652,4
ARTOTEL Yogyakarta,Rp 836.795,4
Grand Tjokro Yogyakarta,Rp 521.392,4
@HOM Premiere Timoho,Rp 314.317,4
ibis Yogyakarta Adi Sucipto,Rp 413.223,3
Jambuluwuk Malioboro Hotel Yogyakarta,Rp 841.750,5
Nueve Malioboro Jogja Hotel,Rp 578.512,2
H Boutique Hotel Jogjakarta,Rp 344.353,3
Pandanaran Prawirotaman Yogyakarta,Rp 301.653,3
Prima In Hotel Malioboro,Rp 374.076,3
Top Malioboro Hotel Yogyakarta,Rp 273.347,3
Grand Orchid Hotel Yogyakarta,Rp 282.314,3
Khas Tugu Hotel,Rp 446.281,3
Loman Park Hotel Yogyakarta,Rp 489.253,4
Grand Sarila Hotel Yogyakarta,Rp 247.933,3
Ayaartta Hotel Malioboro,Rp 482.645,3
Next Hotel Yogyakarta,Rp 317.361,4
Hotel Adilla Syariah Ambarukmo,Rp 165.289,2
Cakra Kusuma Hotel,Rp 266.529,3
The Arizon Hotel @ Malioboro,Rp 227.273,2
AJ Boutique Hotel Malioboro,Rp 326.446,2
MMUGM Hotel,Rp 363.636,3
Carani Hotel,Rp 416.896,3
Tickle Hotel,Rp 272.727,2
Tjokro Style Yogyakarta,Rp 307.934,3
Novotel Suites Yogyakarta Malioboro,Rp 1.437.000,4
LPP Garden Hotel,Rp 253.902,4
Hotel Arjuna Yogyakarta,Rp 433.884,3
Grand Altuz Yogyakarta,Rp 425.620,4
Brothers Inn Babarsari,Rp 235.537,2
Cavinton Hotel Malioboro Yogyakarta by Tritama Hospitality,Rp 525.518,4
Riss Hotel Malioboro,Rp 767.459,4
The Amartya Jogjakarta Hotel,Rp 514.876,3
Grage Jogja Malioboro,Rp 1.479.339,3
ibis Styles Yogyakarta,Rp 640.496,3
Swiss-Belboutique Yogyakarta,Rp 898.648,4
Hotel Tasneem Malioboro Yogyakarta,Rp 176.054,3
The Manohara Hotel Yogyakarta,Rp 743.799,4
Front One Resort Jogja,Rp 243.802,3
Kangen Boutique Hotel,Rp 272.727,3
Best City Hotel,Rp 253.202,3
Grand Rosela Hotel,Rp 272.727,3
Woodpecker Hotel,Rp 227.273,2
Uniq Hotel Malioboro,Rp 256.612,2
Hotel Citradream Tugu Yogyakarta,Rp 308.725,2
Student Park Hotel,Rp 308.017,3
Rumput Hotel Resort & Resto,Rp 235.537,1
Peti Mas Hotel Malioboro,Rp 340.909,1
Dhipa Kinanthi,Rp 433.884,3
Ceria Boutique Hotel Babarsari,Rp 272.456,3
SM Tower Malioboro Yogyakarta,Rp 495.868,3
Grand Puri Saron Hotel Malioboro Yogyakarta,Rp 2.719.008,3
Forriz Hotel Yogyakarta,Rp 418.109,4
Gadjah Mada University Club Hotel,Rp 462.810,3
The Jayakarta Yogyakarta Hotel & Spa,Rp 490.909,4
RedDoorz @ Hotel Sartika Yogyakarta,Rp 112.552,1
Griya Jogja Hotel,Rp 237.901,1
Kusuma Syariah Hotel Yogyakarta,Rp 227.273,1
Horison Lynn Yogyakarta,Rp 394.569,3
Tara Hotel Yogyakarta,Rp 413.223,4
D'Senopati Malioboro Grand Hotel,Rp 416.405,4
The Grand Palace Hotel Yogyakarta,Rp 314.598,3
Chantya Hotel by Grand Sarila,Rp 264.462,3
Adhisthana Hotel Yogyakarta,Rp 461.454,3
Laxston Hotel Yogyakarta,Rp 314.711,3
Arrayan Malioboro Syariah,Rp 253.718,2
Malioboro Garden Hotel,Rp 298.554,2
Burza Hotel Yogyakarta,Rp 397.727,3
RAJAKLANA Resort Villa and Spa,Rp 470.579,3
Cakra Kembang Hotel,Rp 341.370,3
The Edwin Syariah,Rp 252.066,2
MASRI LIVING by Daphna International,Rp 278.182,3
Hotel Dermaga Keluarga Sonosewu,Rp 257.521,2
Kampung Lawasan Heritage Cottage,Rp 248.760,2
Tab Hotel Malioboro - Yogyakarta,Rp 467.107,3
Sans Hotel Absari Yogyakarta,Rp 232.066,3
Nirvana Inn Gejayan Yogyakarta Mitra RedDoorz,Rp 116.903,1
"De Laxston Hotel Yogyakarta, Azana Hotels Collection",Rp 296.649,3
Front One Cabin Malioboro Jogja,Rp 132.078,1
Ros In Hotel,Rp 413.223,4
Rivisha Hotel,Rp 202.479,1
Hotel Amalia Malioboro Syariah,Rp 305.785,1
LUXURY MALIOBORO HOTEL,Rp 402.111,3
Emersia Malioboro Yogyakarta,Rp 407.603,3
Puri Chorus Hotel,Rp 256.198,1
Agung Mas Hotel Malioboro,Rp 215.909,1
Amaya Suites Hotel,Rp 177.552,2
Atrium Premiere Hotel Yogyakarta Ambarukmo,Rp 347.107,3
Gallery Prawirotaman Hotel,Rp 627.314,4
Koslo Yogyakarta,Rp 246.281,1
La Luna Resort Yogyakarta,Rp 537.190,3
Dermaga Keluarga Wirobrajan,Rp 251.240,2
Hotel Mataram 2 Malioboro,Rp 271.601,3
Hotel Zamrud Malioboro,Rp 123.244,1
Hotel Batik Yogyakarta,Rp 330.579,1
Sans Hotel Ekkon Yogyakarta By RedDoorz,Rp 250.745,3
Metro Malioboro Living,Rp 81.818,1
Hotel Urban Al Ashri,Rp 193.971,2
Remen Room Bed & Breakfast,Rp 235.537,1
Savita Garden Inn,Rp 230.579,3
Cotton House Monjali,Rp 228.306,1
Omah Njonja Bed & Brasserie,Rp 289.256,3
Rene Hotel,Rp 177.686,2
Dom Hotel Jogja,Rp 247.934,1
The Phoenix Hotel Yogyakarta - MGallery,Rp 991.736,5
Sans Hotel RG Living Jogja by RedDoorz,Rp 441.521,3
The Kharma Villas,Rp 520.661,5
Mawar Asri Hotel,Rp 264.463,3
Hotel Yogya Plaza /Ogh Doni,Rp 126.855,1
D'Kalpa Hotel Demangan Yogyakarta,Rp 246.281,2
Aveon Express Hotel Yogyakarta by Daphna International,Rp 247.107,3
Hotel Mataram Malioboro,Rp 299.820,3
Hotel Cristalit,Rp 165.288,1
Airlangga Hotel,Rp 228.099,1
Le Krasak Boutique Hotel Malioboro,Rp 309.917,3
Hotel Urban Latifa Yogyakarta,Rp 254.545,2
Griya Sentana Malioboro Hotel,Rp 272.727,1
Indah Palace Hotel,Rp 289.499,3
Violet Hotel Malioboro,Rp 334.711,2
Collection O 3468 Ndalem Gusti Ayu,Rp 257.331,2
Hotel Pules,Rp 179.715,1
Khas Tugu Hotel Yogyakarta,Rp 507.493,3
Mirta V Apartment Jogja,Rp 206.612,3
Votel Viure Hotel Yogyakarta,Rp 178.717,1
RedDoorz @ myRoom UMY,Rp 247.296,1
Summer Quest Hotel Jogja,Rp 347.474,2
Hotel Olympic Yogyakarta By Sajiwa,Rp 229.557,1
Grand Omah Sastro,Rp 338.843,3
The Green Winotosastro Hotel,Rp 206.529,1
Blue Safir Hotel Malioboro,Rp 247.934,1
Hotel LPP Convention,Rp 201.128,3
Mutiara Residence near Lippo Plaza Jogja Mitra RedDoorz,Rp 98.483,1
Super OYO OYO Capital O 514 Omah Pari Boutique Hotel,Rp 232.479,2
Super OYO 2008 Sellinas Family Residence Syariah,Rp 112.333,2
RedDoorz near Kampus 3 UTY Yogyakarta,Rp 112.564,1
Sunrise Hotel Yogyakarta,Rp 164.463,1
Nirvana Inn Wahid Hasyim Mitra RedDoorz,Rp 170.050,1
Manggolo Homestay Syariah,Rp 194.001,3
D'Salvatore Art & Boutique Hotel,Rp 416.916,3
Sky Hotel Jogja,Rp 206.612,1
OYO Collection O 1626 Alena Residence,Rp 280.421,1
RedDoorz Syariah @ Namira Hotel,Rp 126.634,1
Sawah Joglo Boutique Villa Mitra RedDoorz,Rp 328.310,1
Puri Langenarjan Guest House,Rp 173.554,2
PYRENEES Malioboro Hotel,Rp 603.655,2
Sans Hotel Prime Cailendra Yogyakarta by RedDoorz,Rp 275.802,3
RedDoorz Plus near Jogja City Mall 5,Rp 129.200,2
RedDoorz Plus @ Terban Residence,Rp 201.126,2
Hotel Aryuka Yogyakarta,Rp 165.289,1
Septia Malioboro Hotel,Rp 247.934,2
Collection O 90253 DHelomi,Rp 141.161,1
Malioboro Palace Hotel,Rp 330.579,1
RedDoorz @ Sagan Jogja 2,Rp 163.339,1
Urbanview Griya Kusumo Seturan Yogyakarta,Rp 193.418,2
RedDoorz Plus @ Taman Siswa 2,Rp 174.942,2
Tirtodipuran Hotel Malioboro by Natts Hospitality Indonesia,Rp 355.372,4
Akur Hotel Malioboro Mitra RedDoorz,Rp 158.095,1
Sans Hotel Pippo Yogyakarta by RedDoorz,Rp 231.174,3
EDU Hostel,Rp 90.909,1
Hotel Solaris Malioboro,Rp 167.355,2
Puri Artha Hotel Yogyakarta,Rp 287.021,3
Sekar Ayu Hotel Malioboro Mitra RedDoorz,Rp 157.729,1
The Cabin Hotel Bhayangkara,Rp 216.529,1
Pan Family Hotel Syariah Hospitality,Rp 82.645,1
RedDoorz Syariah near Taman Pelangi Jogja 2,Rp 171.372,1
The Cabin Hotel Sutomo,Rp 314.050,1
Super OYO 90778 River inn Malioboro,Rp 191.208,1
Prayogo Style Inn Prawirotaman Yogyakarta,Rp 177.686,2
University Hotel Yogyakarta,Rp 235.537,3
The Cabin Hotel Gandekan,Rp 157.025,1
Urbanview Hotel Syariah Wisnugraha by RedDoorz,Rp 161.629,1
RedDoorz near UMY Yogyakarta,Rp 165.570,1
Astana Malioboro Mitra RedDoorz,Rp 287.433,1
OYO 250 De'gadri Ndalem,Rp 115.155,2
Summer Season Boutique Hotel,Rp 350.780,2
Hotel Srikandi Baru,Rp 123.967,1
Sans Hotel Kumbang Yogyakarta by RedDoorz,Rp 222.218,3
RedDoorz Plus near Amplaz Yogyakarta,Rp 217.360,2
RedDoorz Syariah near Galeria Mall Yogyakarta,Rp 111.109,1
d'Omah Hotel Yogya,Rp 1.400.826,4
RedDoorz @ Arkana Seturan Pakuwon Mall,Rp 139.240,1
Super OYO 759 Hotel Dewi Sri,Rp 145.142,2
RedDoorz @ Jalan Parangtritis,Rp 122.995,1
RedDoorz near XT Square Yogyakarta,Rp 126.488,1
SUPER OYO 890 Dewi Fortuna Guest House,Rp 137.741,2
Urbanview Griya Jogokaryan by RedDoorz,Rp 224.926,2
Khayangan Resort Yogyakarta,Rp 371.901,4
RedDoorz near Universitas Muhammadiyah Yogyakarta,Rp 181.815,1
RedDoorz Plus near Stadion Mandala Krida,Rp 154.760,2
RedDoorz near Ramai Mall Malioboro,Rp 309.540,1
OYO 409 Pondok Helomi,Rp 143.982,2
RedDoorz @ Pakuncen Malioboro Yogyakarta,Rp 122.995,1
Hotel Gemah Ripah,Rp 206.612,1
The Nest Hotel Yogyakarta,Rp 192.430,1
House 140 Jogja,Rp 115.702,1
Andelis Homestay,Rp 206.612,1
Urbanview Le Reno Inn Wirobrajan by RedDoorz,Rp 189.617,2
Sriwedari Hotel Yogyakarta,Rp 214.876,3
Hotel Matahari Yogyakarta,Rp 305.785,2
Super OYO 2041 Griya Aneka,Rp 145.142,2
Kaira Room Guest House Syariah Mitra RedDoorz,Rp 204.992,1
Hotel Bugis Asri,Rp 152.881,1
Sans Hotel Nagari Malioboro,Rp 387.800,3
RedDoorz Plus near STIE YKPN,Rp 159.432,2
RedDoorz Syariah @ Lempuyangan,Rp 128.120,1
Ndalem Suratin Guesthouse,Rp 140.496,1
Sare Hotel Yogyakarta (Muslim Friendly),Rp 289.256,3
Hotel Bifa Yogyakarta,Rp 190.083,3
RedDoorz Plus @ Pogung Raya,Rp 112.552,2
RedDoorz Syariah @ Babadan Baru Jakal,Rp 142.706,1
